area,counts,coordinates,lat,lon
Oslo Fjord,1,59.916756 10.737882,59.916756,10.737882
Middle Caicos,1,21.7960018 -71.7603044,21.7960018,-71.7603044
Milne Bay Province,1,51.2188652 -102.4296875,51.2188652,-102.4296875
Coast Province,1,31.5131939 -9.7704741,31.5131939,-9.7704741
Boa Vista Island,1,2.8208478 -60.6719582,2.8208478,-60.6719582
Tabuk Province,1,28.4012536 36.567049,28.4012536,36.567049
Rio Grande Do Sul,1,-29.8425284 -53.7680577,-29.8425284,-53.7680577
Santa Elena,1,-15.9694573 -5.7129442,-15.9694573,-5.7129442
Cabo San Lucas,1,22.8938884 -109.9200604,22.8938884,-109.9200604
Green Bay,1,44.5126379 -88.0125794,44.5126379,-88.0125794
Alifu Alifu Atoll,1,,,
 Upolu Island,1,-13.9209349 -171.7755764,-13.9209349,-171.7755764
Baja California Sur,1,25.5818014 -111.5706164,25.5818014,-111.5706164
Grand Baie,1,-20.0130199 57.584627,-20.0130199,57.584627
Batangas province,1,15.1716672 120.5897636,15.1716672,120.5897636
Yasawa Islands,1,-17.2909471 177.1257858,-17.2909471,177.1257858
Santa Isabel Province,1,-8.0411989 159.2113008,-8.0411989,159.2113008
South Ch'ungch'ong Province,1,36.6357 127.4915,36.6357,127.4915
Conservatória District,1,41.3415922 -6.9629354,41.3415922,-6.9629354
New Providence District,1,6.7524015 -58.179348,6.7524015,-58.179348
Western Area,1,8.3346033 -13.0656016,8.3346033,-13.0656016
Nueva Esparta,1,10.9738509 -64.0597676,10.9738509,-64.0597676
Sepang,1,2.8008619 101.7094012,2.8008619,101.7094012
Southern District,1,22.219269 114.2252234,22.219269,114.2252234
Isla Provedencia,1,,,
Baie de Sainte-Marie,1,-22.2970371 166.4698603,-22.2970371,166.4698603
Shizuoka Prefecture,1,34.9332488 138.0955398,34.9332488,138.0955398
Surigao del Norte,1,9.666667 125.633333,9.666667,125.633333
Dubai,1,25.2047397 55.2707065,25.2047397,55.2707065
Maranhão,1,-5.2085503 -45.3930262,-5.2085503,-45.3930262
"Sharjah, ",1,25.3461498 55.4210633,25.3461498,55.4210633
Between Somalia & Yemen,1,6.0 48.0,6.0,48.0
North Pacific coast,1,54.1944325 -130.2241153,54.1944325,-130.2241153
Northern Bahamas,1,25.04082 -77.37122,25.04082,-77.37122
Minerva Reef,1,-23.9382333 -179.1629754,-23.9382333,-179.1629754
